委托单位编码,委托单位名称,单据编号,单据类型,交易类型,币种,金额,优先级,超期状态,单据日期,任务类型,工作组,处理人,作业状态,入池时间,入组时间,提取时间,通过时间,是否全电发票,收单状态,实物状态,共享中心,服务目录,自动审批状态,任务量
A02,示例集团·乙公司,AP-2026-000006,付款单,应付确认单（物料类）,人民币,597753.42,,--,2026-01-21,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-05 11:48:10,2026-06-05 11:48:44,2026-06-05 11:55:45,2026-06-05 15:17:44,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A05,示例集团·戊公司,AP-2026-000007,通用报销单,应付付款单（材料采购）,人民币,94104.83,,--,2026-01-04,FSSC审核岗,应付成本组,审核员01,审核通过,2026-04-26 18:27:43,2026-04-26 18:28:33,2026-04-26 18:36:25,2026-04-26 20:07:33,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000008,应付发票,应付确认单（物料类）,人民币,45259.85,,--,2026-01-25,FSSC审核岗,应付成本组,审核员07,审核通过,2026-03-11 09:18:38,2026-03-11 09:19:37,2026-03-11 09:25:52,2026-03-11 11:20:37,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A05,示例集团·戊公司,AP-2026-000009,通用报销单,其他专项付款单,人民币,11433.44,,--,2026-02-27,FSSC审核岗,应付成本组,审核员05,审核通过,2026-04-07 10:23:59,2026-04-07 10:25:09,2026-04-07 10:25:17,2026-04-07 15:08:09,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A05,示例集团·戊公司,AP-2026-000009,通用报销单,其他专项付款单,人民币,2106.65,,--,2026-02-27,FSSC审核岗,应付成本组,审核员05,审核通过,2026-04-07 10:23:59,2026-04-07 10:25:09,2026-04-07 10:31:46,2026-04-07 14:12:09,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A05,示例集团·戊公司,AP-2026-000009,通用报销单,其他专项付款单,人民币,71613.42,,--,2026-02-27,FSSC审核岗,应付成本组,审核员05,审核通过,2026-04-07 10:23:59,2026-04-07 10:25:09,2026-04-07 10:28:46,2026-04-07 14:25:09,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A15,示例集团·子公司戊,AP-2026-000010,通用报销单,通用报销单（费用报销）,人民币,10265.18,,--,2026-03-10,FSSC审核岗,应付成本组,审核员06,审核通过,2026-06-19 09:06:18,2026-06-19 09:08:03,2026-06-19 09:11:19,2026-06-19 10:56:03,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A15,示例集团·子公司戊,AP-2026-000010,通用报销单,通用报销单（费用报销）,人民币,1708.94,,--,2026-03-10,FSSC审核岗,应付成本组,审核员06,审核通过,2026-06-19 09:06:18,2026-06-19 09:08:03,2026-06-19 09:11:54,2026-06-19 10:41:03,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A15,示例集团·子公司戊,AP-2026-000010,通用报销单,通用报销单（费用报销）,人民币,36635.81,,--,2026-03-10,FSSC审核岗,应付成本组,审核员06,审核通过,2026-06-19 09:06:18,2026-06-19 09:08:03,2026-06-19 09:09:36,2026-06-19 09:56:03,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A16,示例集团·子公司己,AP-2026-000011,应付发票,其他专项付款单,人民币,83723.45,,--,2026-03-20,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-18 20:46:57,2026-06-18 20:48:29,2026-06-18 20:54:06,2026-06-18 23:40:29,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A05,示例集团·戊公司,AP-2026-000012,通用报销单,应付确认单（物料类）,人民币,169740.38,,--,2026-06-01,FSSC审核岗,应付成本组,审核员01,审核通过,2026-04-19 11:00:50,2026-04-19 11:02:11,2026-04-19 11:03:46,2026-04-19 12:13:11,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000013,付款单,应付确认单（物料类）,人民币,264540.86,,--,2026-01-24,FSSC审核岗,应付成本组,审核员04,审核驳回,2026-03-08 20:31:18,2026-03-08 20:31:43,2026-03-08 20:40:14,--,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000013,付款单,应付确认单（物料类）,人民币,204024.84,,--,2026-01-24,FSSC审核岗,应付成本组,审核员04,审核驳回,2026-03-08 20:31:18,2026-03-08 20:31:43,2026-03-08 20:39:46,--,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000013,付款单,应付确认单（物料类）,人民币,211843.92,,--,2026-01-24,FSSC审核岗,应付成本组,审核员04,审核驳回,2026-03-08 20:31:18,2026-03-08 20:31:43,2026-03-08 20:33:01,--,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000014,应付发票,应付付款单（材料采购）,人民币,7667.16,,--,2026-05-04,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-18 15:08:39,2026-04-18 15:09:15,2026-04-18 15:09:36,2026-04-18 17:15:15,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000014,应付发票,应付付款单（材料采购）,人民币,48560.52,,--,2026-05-04,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-18 15:08:39,2026-04-18 15:09:15,2026-04-18 15:10:21,2026-04-18 18:05:15,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000014,应付发票,应付付款单（材料采购）,人民币,134829.97,,--,2026-05-04,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-18 15:08:39,2026-04-18 15:09:15,2026-04-18 15:09:02,2026-04-18 18:08:15,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000015,应付发票,通用报销单（费用报销）,人民币,63890.4,,--,2026-06-03,FSSC审核岗,应付成本组,审核员01,审核通过,2026-03-06 14:31:44,2026-03-06 14:33:35,2026-03-06 14:34:02,2026-03-06 17:44:35,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000016,付款单,其他专项付款单,人民币,48184.42,,--,2026-05-26,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-16 10:12:32,2026-04-16 10:12:40,2026-04-16 10:18:27,2026-04-16 13:39:40,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A03,示例集团·丙公司,AP-2026-000016,付款单,其他专项付款单,人民币,62275.67,,--,2026-05-26,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-16 10:12:32,2026-04-16 10:12:40,2026-04-16 10:19:36,2026-04-16 12:51:40,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A05,示例集团·戊公司,AP-2026-000017,应付发票,应付确认单（物料类）,人民币,84435.87,,--,2026-05-17,FSSC审核岗,应付成本组,审核员02,审核通过,2026-05-03 17:05:39,2026-05-03 17:06:10,2026-05-03 17:06:30,2026-05-03 20:40:10,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000018,付款单,应付付款单（差旅费）,人民币,53763.43,,--,2026-05-17,FSSC审核岗,应付成本组,审核员05,审核通过,2026-01-07 18:45:36,2026-01-07 18:46:10,2026-01-07 18:50:54,2026-01-07 21:40:10,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000018,付款单,应付付款单（差旅费）,人民币,18310.11,,--,2026-05-17,FSSC审核岗,应付成本组,审核员05,审核通过,2026-01-07 18:45:36,2026-01-07 18:46:10,2026-01-07 18:50:34,2026-01-07 20:40:10,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000018,付款单,应付付款单（差旅费）,人民币,5519.52,,--,2026-05-17,FSSC审核岗,应付成本组,审核员05,审核通过,2026-01-07 18:45:36,2026-01-07 18:46:10,2026-01-07 18:50:41,2026-01-07 20:51:10,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000019,付款单,应付付款单（材料采购）,人民币,44997.49,,--,2026-03-04,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-17 12:09:22,2026-06-17 12:11:15,2026-06-17 12:13:43,2026-06-17 13:10:15,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000019,付款单,应付付款单（材料采购）,人民币,64891.76,,--,2026-03-04,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-17 12:09:22,2026-06-17 12:11:15,2026-06-17 12:15:31,2026-06-17 14:09:15,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000019,付款单,应付付款单（材料采购）,人民币,63908.74,,--,2026-03-04,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-17 12:09:22,2026-06-17 12:11:15,2026-06-17 12:12:05,2026-06-17 14:10:15,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000020,付款单,应付付款单（差旅费）,人民币,227314.43,,--,2026-02-21,FSSC审核岗,应付成本组,审核员07,审核通过,2026-01-27 16:20:42,2026-01-27 16:20:56,2026-01-27 16:24:18,2026-01-27 18:17:56,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000020,付款单,应付付款单（差旅费）,人民币,291515.61,,--,2026-02-21,FSSC审核岗,应付成本组,审核员07,审核通过,2026-01-27 16:20:42,2026-01-27 16:20:56,2026-01-27 16:24:30,2026-01-27 17:57:56,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000020,付款单,应付付款单（差旅费）,人民币,51759.75,,--,2026-02-21,FSSC审核岗,应付成本组,审核员07,审核通过,2026-01-27 16:20:42,2026-01-27 16:20:56,2026-01-27 16:23:45,2026-01-27 18:22:56,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000021,通用报销单,应付付款单（服务费）,人民币,52281.05,,--,2026-05-21,FSSC审核岗,应付成本组,审核员02,审核驳回,2026-04-09 08:06:08,2026-04-09 08:07:55,2026-04-09 08:12:25,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000021,通用报销单,应付付款单（服务费）,人民币,133569.88,,--,2026-05-21,FSSC审核岗,应付成本组,审核员02,审核驳回,2026-04-09 08:06:08,2026-04-09 08:07:55,2026-04-09 08:13:13,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A06,示例集团·己公司,AP-2026-000022,应付发票,其他专项付款单,人民币,108789.24,,--,2026-02-23,FSSC审核岗,应付成本组,审核员07,审核驳回,2026-01-27 13:37:45,2026-01-27 13:38:41,2026-01-27 13:47:23,--,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A06,示例集团·己公司,AP-2026-000022,应付发票,其他专项付款单,人民币,32222.44,,--,2026-02-23,FSSC审核岗,应付成本组,审核员07,审核驳回,2026-01-27 13:37:45,2026-01-27 13:38:41,2026-01-27 13:40:02,--,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A06,示例集团·己公司,AP-2026-000022,应付发票,其他专项付款单,人民币,150635.66,,--,2026-02-23,FSSC审核岗,应付成本组,审核员07,审核驳回,2026-01-27 13:37:45,2026-01-27 13:38:41,2026-01-27 13:41:28,--,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A18,示例集团·子公司辛,AP-2026-000025,付款单,其他专项付款单,人民币,48780.01,,--,2026-03-13,FSSC审核岗,应付成本组,审核员05,审核通过,2026-01-11 08:08:13,2026-01-11 08:08:36,2026-01-11 08:13:03,2026-01-11 11:59:36,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A18,示例集团·子公司辛,AP-2026-000025,付款单,其他专项付款单,人民币,50253.98,,--,2026-03-13,FSSC审核岗,应付成本组,审核员05,审核通过,2026-01-11 08:08:13,2026-01-11 08:08:36,2026-01-11 08:16:10,2026-01-11 12:09:36,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A09,示例集团·壬公司,AP-2026-000026,应付发票,应付付款单（服务费）,人民币,109870.68,,--,2026-02-17,FSSC审核岗,应付成本组,审核员05,审核通过,2026-02-19 11:16:48,2026-02-19 11:17:44,2026-02-19 11:22:47,2026-02-19 12:25:44,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A16,示例集团·子公司己,AP-2026-000027,通用报销单,应付付款单（服务费）,人民币,39275.91,,--,2026-01-22,FSSC审核岗,应付成本组,审核员05,审核通过,2026-02-10 16:20:09,2026-02-10 16:20:51,2026-02-10 16:21:25,2026-02-10 19:51:51,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A16,示例集团·子公司己,AP-2026-000027,通用报销单,应付付款单（服务费）,人民币,68359.89,,--,2026-01-22,FSSC审核岗,应付成本组,审核员05,审核通过,2026-02-10 16:20:09,2026-02-10 16:20:51,2026-02-10 16:29:16,2026-02-10 19:55:51,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A16,示例集团·子公司己,AP-2026-000027,通用报销单,应付付款单（服务费）,人民币,90813.39,,--,2026-01-22,FSSC审核岗,应付成本组,审核员05,审核通过,2026-02-10 16:20:09,2026-02-10 16:20:51,2026-02-10 16:28:18,2026-02-10 18:09:51,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000028,通用报销单,应付确认单（物料类）,人民币,187972.32,,--,2026-06-10,FSSC审核岗,应付成本组,审核员05,审核通过,2026-02-01 12:18:41,2026-02-01 12:20:22,2026-02-01 12:23:35,2026-02-01 14:59:22,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000028,通用报销单,应付确认单（物料类）,人民币,170654.58,,--,2026-06-10,FSSC审核岗,应付成本组,审核员05,审核通过,2026-02-01 12:18:41,2026-02-01 12:20:22,2026-02-01 12:18:53,2026-02-01 15:52:22,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000028,通用报销单,应付确认单（物料类）,人民币,87017.3,,--,2026-06-10,FSSC审核岗,应付成本组,审核员05,审核通过,2026-02-01 12:18:41,2026-02-01 12:20:22,2026-02-01 12:28:41,2026-02-01 15:05:22,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000030,应付发票,应付付款单（差旅费）,人民币,1552.66,,--,2026-01-20,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-14 18:36:58,2026-06-14 18:38:28,2026-06-14 18:42:15,2026-06-14 22:17:28,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000031,应付发票,应付确认单（物料类）,人民币,84178.19,,--,2026-04-15,FSSC审核岗,应付成本组,审核员05,审核通过,2026-04-28 09:30:00,2026-04-28 09:31:00,2026-04-28 09:36:40,2026-04-28 13:54:00,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000031,应付发票,应付确认单（物料类）,人民币,104510.24,,--,2026-04-15,FSSC审核岗,应付成本组,审核员05,审核通过,2026-04-28 09:30:00,2026-04-28 09:31:00,2026-04-28 09:31:33,2026-04-28 12:36:00,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A04,示例集团·丁公司,AP-2026-000032,应付发票,应付付款单（差旅费）,人民币,138870.95,,--,2026-01-06,FSSC审核岗,应付成本组,审核员04,审核通过,2026-05-15 12:49:09,2026-05-15 12:50:31,2026-05-15 12:53:25,2026-05-15 14:09:31,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A04,示例集团·丁公司,AP-2026-000032,应付发票,应付付款单（差旅费）,人民币,15702.34,,--,2026-01-06,FSSC审核岗,应付成本组,审核员04,审核通过,2026-05-15 12:49:09,2026-05-15 12:50:31,2026-05-15 12:59:09,2026-05-15 15:00:31,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A04,示例集团·丁公司,AP-2026-000032,应付发票,应付付款单（差旅费）,人民币,3068.96,,--,2026-01-06,FSSC审核岗,应付成本组,审核员04,审核通过,2026-05-15 12:49:09,2026-05-15 12:50:31,2026-05-15 12:55:30,2026-05-15 15:44:31,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A09,示例集团·壬公司,AP-2026-000033,应付发票,应付付款单（材料采购）,人民币,185097.5,,--,2026-02-18,FSSC审核岗,应付成本组,审核员03,审核通过,2026-01-08 14:44:55,2026-01-08 14:45:23,2026-01-08 14:50:14,2026-01-08 16:54:23,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A09,示例集团·壬公司,AP-2026-000033,应付发票,应付付款单（材料采购）,人民币,10782.32,,--,2026-02-18,FSSC审核岗,应付成本组,审核员03,审核通过,2026-01-08 14:44:55,2026-01-08 14:45:23,2026-01-08 14:53:26,2026-01-08 15:30:23,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A09,示例集团·壬公司,AP-2026-000033,应付发票,应付付款单（材料采购）,人民币,331385.41,,--,2026-02-18,FSSC审核岗,应付成本组,审核员03,审核通过,2026-01-08 14:44:55,2026-01-08 14:45:23,2026-01-08 14:53:53,2026-01-08 17:00:23,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000034,应付发票,应付付款单（差旅费）,人民币,26632.49,,--,2026-04-23,FSSC审核岗,应付成本组,审核员06,审核通过,2026-05-25 17:24:31,2026-05-25 17:25:17,2026-05-25 17:30:25,2026-05-25 20:13:17,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000034,应付发票,应付付款单（差旅费）,人民币,14213.65,,--,2026-04-23,FSSC审核岗,应付成本组,审核员06,审核通过,2026-05-25 17:24:31,2026-05-25 17:25:17,2026-05-25 17:27:50,2026-05-25 19:13:17,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000034,应付发票,应付付款单（差旅费）,人民币,97681.82,,--,2026-04-23,FSSC审核岗,应付成本组,审核员06,审核通过,2026-05-25 17:24:31,2026-05-25 17:25:17,2026-05-25 17:33:09,2026-05-25 20:15:17,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A11,示例集团·子公司甲,AP-2026-000035,付款单,应付付款单（服务费）,人民币,141867.18,,--,2026-01-09,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-13 13:43:35,2026-06-13 13:44:27,2026-06-13 13:53:17,2026-06-13 18:17:27,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A11,示例集团·子公司甲,AP-2026-000035,付款单,应付付款单（服务费）,人民币,130510.54,,--,2026-01-09,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-13 13:43:35,2026-06-13 13:44:27,2026-06-13 13:52:12,2026-06-13 17:49:27,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000037,应付发票,应付付款单（材料采购）,人民币,120843.86,,--,2026-06-18,FSSC审核岗,应付成本组,审核员01,审核通过,2026-05-21 09:49:44,2026-05-21 09:51:21,2026-05-21 09:51:57,2026-05-21 11:20:21,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000037,应付发票,应付付款单（材料采购）,人民币,22227.68,,--,2026-06-18,FSSC审核岗,应付成本组,审核员01,审核通过,2026-05-21 09:49:44,2026-05-21 09:51:21,2026-05-21 09:52:24,2026-05-21 10:43:21,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000037,应付发票,应付付款单（材料采购）,人民币,7060.89,,--,2026-06-18,FSSC审核岗,应付成本组,审核员01,审核通过,2026-05-21 09:49:44,2026-05-21 09:51:21,2026-05-21 09:54:02,2026-05-21 10:22:21,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000038,付款单,其他专项付款单,人民币,34699.13,,--,2026-04-07,FSSC审核岗,应付成本组,审核员04,审核通过,2026-01-25 13:11:17,2026-01-25 13:12:53,2026-01-25 13:14:07,2026-01-25 16:28:53,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A15,示例集团·子公司戊,AP-2026-000039,应付发票,其他专项付款单,人民币,12040.23,,--,2026-04-13,FSSC审核岗,应付成本组,审核员07,审核通过,2026-02-03 17:45:34,2026-02-03 17:46:06,2026-02-03 17:55:12,2026-02-03 20:00:06,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A15,示例集团·子公司戊,AP-2026-000039,应付发票,其他专项付款单,人民币,109706.97,,--,2026-04-13,FSSC审核岗,应付成本组,审核员07,审核通过,2026-02-03 17:45:34,2026-02-03 17:46:06,2026-02-03 17:46:15,2026-02-03 19:24:06,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A15,示例集团·子公司戊,AP-2026-000039,应付发票,其他专项付款单,人民币,203607.0,,--,2026-04-13,FSSC审核岗,应付成本组,审核员07,审核通过,2026-02-03 17:45:34,2026-02-03 17:46:06,2026-02-03 17:48:31,2026-02-03 19:50:06,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A03,示例集团·丙公司,AP-2026-000040,应付发票,应付确认单（物料类）,人民币,76250.2,,--,2026-05-17,FSSC审核岗,应付成本组,审核员03,审核通过,2026-02-28 14:52:38,2026-02-28 14:53:34,2026-02-28 15:02:33,2026-02-28 17:41:34,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000040,应付发票,应付确认单（物料类）,人民币,59795.0,,--,2026-05-17,FSSC审核岗,应付成本组,审核员03,审核通过,2026-02-28 14:52:38,2026-02-28 14:53:34,2026-02-28 14:53:49,2026-02-28 17:45:34,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A17,示例集团·子公司庚,AP-2026-000041,应付发票,其他专项付款单,人民币,38769.7,,--,2026-02-18,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-14 19:37:38,2026-04-14 19:39:28,2026-04-14 19:44:49,2026-04-14 22:16:28,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A17,示例集团·子公司庚,AP-2026-000041,应付发票,其他专项付款单,人民币,236212.94,,--,2026-02-18,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-14 19:37:38,2026-04-14 19:39:28,2026-04-14 19:38:07,2026-04-14 21:01:28,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A06,示例集团·己公司,AP-2026-000042,应付发票,应付付款单（差旅费）,人民币,4616.28,,--,2026-05-16,FSSC审核岗,应付成本组,审核员03,审核通过,2026-03-07 13:51:38,2026-03-07 13:52:14,2026-03-07 13:55:16,2026-03-07 17:36:14,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
