来源系统,单据编号,单据日期,单据类型,交易类型,委托单位编码,委托单位,制单人编码,制单人,附件个数,影像张数,共享中心,共享服务类型,服务目录,任务属性,创建时间,入池时间,入组时间,任务类型,任务量系数,优先级,工作组,派单到人模式,派单到人规则,提取/派单时间,操作终端,处理人编码,处理人,处理时间,处理意见,处理意见标签化,作业状态,作业时长,修正作业时长,超期标记,超期时间,共享是否处理完成,共享处理次数,进入共享次数,页面审核时长,驳回类型,驳回模式,驳回接收环节,驳回接收人,驳出共享次数
财务会计,AP-2026-000015,2026-06-03,应付发票,通用报销单（费用报销）,A07,示例集团·庚公司,MAK09,制单人09,,0,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-03-06 14:31:30,2026-03-06 14:31:44,2026-03-06 14:33:35,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-06 14:33:35,PC端,AUD01,审核员01,2026-03-06 16:16:35,同意,,审核通过,25分16秒,--,0,,是,1,1,242秒,,0,,,--
财务会计,AP-2026-000016,2026-05-26,付款单,其他专项付款单,A03,示例集团·丙公司,MAK12,制单人12,,5,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-04-16 10:12:18,2026-04-16 10:12:32,2026-04-16 10:12:40,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-16 10:12:40,移动端,AUD06,审核员06,2026-04-16 12:41:40,同意,,审核通过,4分3秒,--,0,,是,1,1,254秒,,0,,,--
财务会计,AP-2026-000017,2026-05-17,应付发票,应付确认单（物料类）,A05,示例集团·戊公司,MAK14,制单人14,,3,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-05-03 17:04:43,2026-05-03 17:05:39,2026-05-03 17:06:10,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-03 17:06:10,移动端,AUD02,审核员02,2026-05-03 18:50:10,同意,,审核通过,38分38秒,--,0,,是,1,1,30秒,,0,,,--
费控服务,AP-2026-000018,2026-05-17,付款单,应付付款单（差旅费）,A07,示例集团·庚公司,MAK07,制单人07,,7,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-01-07 18:45:20,2026-01-07 18:45:36,2026-01-07 18:46:10,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-07 18:46:10,PC端,AUD05,审核员05,2026-01-07 20:28:10,同意,,审核通过,21分59秒,--,0,,是,1,1,47秒,,0,,,--
财务会计,AP-2026-000019,2026-03-04,付款单,应付付款单（材料采购）,A01,示例集团·甲公司,MAK10,制单人10,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-06-17 12:08:59,2026-06-17 12:09:22,2026-06-17 12:11:15,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-17 12:11:15,PC端,AUD04,审核员04,2026-06-17 12:29:15,同意,,审核通过,29分53秒,--,0,,是,1,1,288秒,,0,,,--
财务会计,AP-2026-000020,2026-02-21,付款单,应付付款单（差旅费）,A08,示例集团·辛公司,MAK10,制单人10,,8,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-01-27 16:19:59,2026-01-27 16:20:42,2026-01-27 16:20:56,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-27 16:20:56,PC端,AUD07,审核员07,2026-01-27 16:55:56,同意,,审核通过,10分17秒,--,0,,是,1,1,154秒,,0,,,--
财务会计,AP-2026-000021,2026-05-21,通用报销单,应付付款单（服务费）,A07,示例集团·庚公司,MAK12,制单人12,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-04-09 08:05:40,2026-04-09 08:06:08,2026-04-09 08:07:55,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-09 08:07:55,PC端,AUD02,审核员02,2026-04-09 09:18:55,驳回,特殊原因,审核驳回,17分10秒,36分45秒,0,,是,2,1,228秒,驳回,1,前端单位,示例集团·庚公司,2
财务会计,AP-2026-000022,2026-02-23,应付发票,其他专项付款单,A06,示例集团·己公司,MAK02,制单人02,,0,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-01-27 13:37:35,2026-01-27 13:37:45,2026-01-27 13:38:41,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-27 13:38:41,PC端,AUD07,审核员07,2026-01-27 14:11:41,驳回,附件不完整,审核驳回,23分13秒,7分22秒,0,,是,2,1,296秒,驳回,1,前端单位,示例集团·己公司,2
财务会计,AP-2026-000023,2026-05-05,付款单,其他专项付款单,A14,示例集团·子公司丁,MAK07,制单人07,,6,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-06-26 20:11:56,2026-06-26 20:12:23,2026-06-26 20:12:27,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-26 20:12:27,PC端,AUD05,审核员05,2026-06-26 20:58:27,同意,,审核通过,16分17秒,--,0,,是,1,1,91秒,,0,,,--
财务会计,AP-2026-000024,2026-02-28,通用报销单,应付付款单（材料采购）,A10,示例集团·癸公司,MAK02,制单人02,,6,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-01-27 15:22:19,2026-01-27 15:23:12,2026-01-27 15:24:54,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-27 15:24:54,PC端,AUD07,审核员07,2026-01-27 16:23:54,同意,,审核通过,22分17秒,--,0,,是,1,1,45秒,,0,,,--
费控服务,AP-2026-000025,2026-03-13,付款单,其他专项付款单,A18,示例集团·子公司辛,MAK05,制单人05,,1,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-01-11 08:07:56,2026-01-11 08:08:13,2026-01-11 08:08:36,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-11 08:08:36,PC端,AUD05,审核员05,2026-01-11 10:37:36,同意,,审核通过,39分27秒,--,0,,是,1,1,186秒,,0,,,--
财务会计,AP-2026-000026,2026-02-17,应付发票,应付付款单（服务费）,A09,示例集团·壬公司,MAK06,制单人06,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-02-19 11:16:02,2026-02-19 11:16:48,2026-02-19 11:17:44,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-19 11:17:44,PC端,AUD05,审核员05,2026-02-19 11:18:44,同意,,审核通过,24分27秒,--,0,,是,1,1,45秒,,0,,,--
财务会计,AP-2026-000027,2026-01-22,通用报销单,应付付款单（服务费）,A16,示例集团·子公司己,MAK15,制单人15,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-02-10 16:19:42,2026-02-10 16:20:09,2026-02-10 16:20:51,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-10 16:20:51,移动端,AUD05,审核员05,2026-02-10 18:04:51,同意,,审核通过,27分42秒,--,0,,是,1,1,204秒,,0,,,--
财务会计,AP-2026-000028,2026-06-10,通用报销单,应付确认单（物料类）,A08,示例集团·辛公司,MAK15,制单人15,,7,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-02-01 12:18:13,2026-02-01 12:18:41,2026-02-01 12:20:22,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-01 12:20:22,移动端,AUD05,审核员05,2026-02-01 14:49:22,同意,,审核通过,29分43秒,--,0,,是,1,1,119秒,,0,,,--
费控服务,AP-2026-000029,2026-05-24,付款单,应付付款单（差旅费）,A05,示例集团·戊公司,MAK13,制单人13,,4,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-02-10 16:42:40,2026-02-10 16:43:20,2026-02-10 16:44:03,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-10 16:44:03,移动端,AUD07,审核员07,2026-02-10 17:08:03,同意,,审核通过,15分51秒,--,0,,是,1,1,111秒,,0,,,--
财务会计,AP-2026-000030,2026-01-20,应付发票,应付付款单（差旅费）,A02,示例集团·乙公司,MAK01,制单人01,,0,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-06-14 18:36:12,2026-06-14 18:36:58,2026-06-14 18:38:28,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-14 18:38:28,PC端,AUD07,审核员07,2026-06-14 20:17:28,同意,,审核通过,7分49秒,--,0,,是,1,1,227秒,,0,,,--
财务会计,AP-2026-000031,2026-04-15,应付发票,应付确认单（物料类）,A02,示例集团·乙公司,MAK13,制单人13,,5,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-04-28 09:29:08,2026-04-28 09:30:00,2026-04-28 09:31:00,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-28 09:31:00,PC端,AUD05,审核员05,2026-04-28 12:22:00,同意,,审核通过,29分39秒,--,0,,是,1,1,268秒,,0,,,--
财务会计,AP-2026-000032,2026-01-06,应付发票,应付付款单（差旅费）,A04,示例集团·丁公司,MAK15,制单人15,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-05-15 12:48:15,2026-05-15 12:49:09,2026-05-15 12:50:31,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-15 12:50:31,PC端,AUD04,审核员04,2026-05-15 14:01:31,同意,,审核通过,18分28秒,--,0,,是,1,1,49秒,,0,,,--
费控服务,AP-2026-000033,2026-02-18,应付发票,应付付款单（材料采购）,A09,示例集团·壬公司,MAK04,制单人04,,7,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-01-08 14:44:09,2026-01-08 14:44:55,2026-01-08 14:45:23,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-08 14:45:23,移动端,AUD03,审核员03,2026-01-08 15:02:23,同意,,审核通过,27分3秒,--,0,,是,1,1,115秒,,0,,,--
费控服务,AP-2026-000034,2026-04-23,应付发票,应付付款单（差旅费）,A12,示例集团·子公司乙,MAK07,制单人07,,6,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-05-25 17:24:30,2026-05-25 17:24:31,2026-05-25 17:25:17,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-25 17:25:17,移动端,AUD06,审核员06,2026-05-25 18:42:17,同意,,审核通过,35分47秒,--,0,,是,1,1,289秒,,0,,,--
财务会计,AP-2026-000035,2026-01-09,付款单,应付付款单（服务费）,A11,示例集团·子公司甲,MAK15,制单人15,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-06-13 13:42:43,2026-06-13 13:43:35,2026-06-13 13:44:27,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-13 13:44:27,移动端,AUD04,审核员04,2026-06-13 16:50:27,同意,,审核通过,40分34秒,--,0,,是,1,1,23秒,,0,,,--
财务会计,AP-2026-000036,2026-02-03,付款单,应付付款单（材料采购）,A14,示例集团·子公司丁,MAK10,制单人10,,6,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-05-28 15:11:03,2026-05-28 15:11:20,2026-05-28 15:12:09,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-28 15:12:09,移动端,AUD05,审核员05,2026-05-28 16:36:09,同意,,审核通过,18分48秒,--,0,,是,1,1,225秒,,0,,,--
费控服务,AP-2026-000037,2026-06-18,应付发票,应付付款单（材料采购）,A02,示例集团·乙公司,MAK02,制单人02,,0,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-05-21 09:49:41,2026-05-21 09:49:44,2026-05-21 09:51:21,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-21 09:51:21,移动端,AUD01,审核员01,2026-05-21 09:59:21,同意,,审核通过,40分9秒,--,0,,是,1,1,132秒,,0,,,--
财务会计,AP-2026-000038,2026-04-07,付款单,其他专项付款单,A01,示例集团·甲公司,MAK11,制单人11,,4,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-01-25 13:10:38,2026-01-25 13:11:17,2026-01-25 13:12:53,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-25 13:12:53,PC端,AUD04,审核员04,2026-01-25 16:16:53,同意,,审核通过,7分37秒,--,0,,是,1,1,23秒,,0,,,--
财务会计,AP-2026-000039,2026-04-13,应付发票,其他专项付款单,A15,示例集团·子公司戊,MAK10,制单人10,,1,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-02-03 17:44:53,2026-02-03 17:45:34,2026-02-03 17:46:06,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-03 17:46:06,移动端,AUD07,审核员07,2026-02-03 18:13:06,同意,,审核通过,37分50秒,--,0,,是,1,1,31秒,,0,,,--
财务会计,AP-2026-000040,2026-05-17,应付发票,应付确认单（物料类）,A03,示例集团·丙公司,MAK07,制单人07,,2,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-02-28 14:52:31,2026-02-28 14:52:38,2026-02-28 14:53:34,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-28 14:53:34,PC端,AUD03,审核员03,2026-02-28 16:26:34,同意,,审核通过,28分11秒,--,0,,是,1,1,277秒,,0,,,--
财务会计,AP-2026-000041,2026-02-18,应付发票,其他专项付款单,A17,示例集团·子公司庚,MAK05,制单人05,,7,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-04-14 19:37:17,2026-04-14 19:37:38,2026-04-14 19:39:28,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-14 19:39:28,移动端,AUD06,审核员06,2026-04-14 20:42:28,同意,,审核通过,16分48秒,--,0,,是,1,1,247秒,,0,,,--
财务会计,AP-2026-000042,2026-05-16,应付发票,应付付款单（差旅费）,A06,示例集团·己公司,MAK11,制单人11,,0,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-03-07 13:51:16,2026-03-07 13:51:38,2026-03-07 13:52:14,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-07 13:52:14,移动端,AUD03,审核员03,2026-03-07 16:25:14,同意,,审核通过,34分12秒,--,0,,是,1,1,53秒,,0,,,--
财务会计,AP-2026-000043,2026-03-08,付款单,应付确认单（物料类）,A02,示例集团·乙公司,MAK07,制单人07,,4,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-04-23 15:28:50,2026-04-23 15:28:52,2026-04-23 15:29:04,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-23 15:29:04,移动端,AUD04,审核员04,2026-04-23 16:45:04,同意,,审核通过,38分23秒,--,0,,是,1,1,252秒,,0,,,--
财务会计,AP-2026-000044,2026-06-18,通用报销单,通用报销单（费用报销）,A06,示例集团·己公司,MAK06,制单人06,,8,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-06-15 12:19:16,2026-06-15 12:19:31,2026-06-15 12:19:47,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-15 12:19:47,PC端,AUD07,审核员07,2026-06-15 15:24:47,同意,,审核通过,12分12秒,--,0,,是,1,1,120秒,,0,,,--
财务会计,AP-2026-000045,2026-04-25,付款单,应付确认单（物料类）,A09,示例集团·壬公司,MAK05,制单人05,,2,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-04-04 11:18:14,2026-04-04 11:18:38,2026-04-04 11:19:01,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-04 11:19:01,PC端,AUD05,审核员05,2026-04-04 12:37:01,驳回,其他,审核驳回,18分2秒,--,0,,是,3,1,293秒,驳回,1,前端单位,示例集团·壬公司,3
财务会计,AP-2026-000046,2026-01-25,应付发票,应付付款单（材料采购）,A03,示例集团·丙公司,MAK16,制单人16,,7,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-04-01 17:18:30,2026-04-01 17:19:01,2026-04-01 17:19:58,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-01 17:19:58,移动端,AUD05,审核员05,2026-04-01 18:47:58,同意,特殊原因,审核通过,8分52秒,32分4秒,0,,是,1,1,37秒,,0,,,1
财务会计,AP-2026-000047,2026-06-03,应付发票,应付付款单（服务费）,A02,示例集团·乙公司,MAK13,制单人13,,7,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-01-25 14:38:38,2026-01-25 14:39:29,2026-01-25 14:40:49,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-25 14:40:49,PC端,AUD07,审核员07,2026-01-25 15:38:49,同意,,审核通过,20分55秒,--,0,,是,1,1,229秒,,0,,,--
费控服务,AP-2026-000048,2026-01-24,付款单,应付付款单（材料采购）,A03,示例集团·丙公司,MAK10,制单人10,,0,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-05-21 11:16:42,2026-05-21 11:16:48,2026-05-21 11:17:09,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-21 11:17:09,移动端,AUD05,审核员05,2026-05-21 12:19:09,同意,,审核通过,27分28秒,--,0,,是,1,1,250秒,,0,,,--
财务会计,AP-2026-000049,2026-02-23,应付发票,应付付款单（服务费）,A03,示例集团·丙公司,MAK04,制单人04,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-04-08 12:50:50,2026-04-08 12:51:31,2026-04-08 12:52:47,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-08 12:52:47,PC端,AUD05,审核员05,2026-04-08 15:42:47,同意,,审核通过,35分14秒,--,0,,是,1,1,86秒,,0,,,--
财务会计,AP-2026-000050,2026-01-06,付款单,通用报销单（费用报销）,A15,示例集团·子公司戊,MAK14,制单人14,,4,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-01-24 17:58:18,2026-01-24 17:58:47,2026-01-24 17:59:03,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-24 17:59:03,PC端,AUD01,审核员01,2026-01-24 19:59:03,同意,,审核通过,33分34秒,--,0,,是,1,1,262秒,,0,,,--
财务会计,AP-2026-000051,2026-01-24,应付发票,应付付款单（差旅费）,A04,示例集团·丁公司,MAK10,制单人10,,4,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-04-01 09:14:43,2026-04-01 09:15:37,2026-04-01 09:17:28,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-01 09:17:28,移动端,AUD07,审核员07,2026-04-01 11:45:28,同意,附件信息不一致,审核通过,37分2秒,12分30秒,0,,是,1,1,275秒,,0,,,1
财务会计,AP-2026-000052,2026-06-19,应付发票,应付付款单（服务费）,A07,示例集团·庚公司,MAK15,制单人15,,5,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-06-16 09:30:22,2026-06-16 09:30:49,2026-06-16 09:31:32,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-16 09:31:32,移动端,AUD02,审核员02,2026-06-16 10:54:32,同意,,审核通过,27分44秒,--,0,,是,1,1,263秒,,0,,,--
财务会计,AP-2026-000053,2026-02-18,通用报销单,应付付款单（服务费）,A03,示例集团·丙公司,MAK16,制单人16,,8,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-03-11 12:20:07,2026-03-11 12:20:57,2026-03-11 12:21:49,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-11 12:21:49,移动端,AUD06,审核员06,2026-03-11 14:33:49,同意,附件不完整,审核通过,30分26秒,34分23秒,0,,是,1,1,265秒,,0,,,1
